date,time,power,impulse
28.03.14,20:00,75,215
29.03.14,2:00,100.8000031,348
29.03.14,8:00,48.29999924,152
29.03.14,14:00,118,445
29.03.14,20:00,44,168
30.03.14,2:00,37.20000076,143
30.03.14,8:00,43.29999924,177
30.03.14,14:00,70.69999695,276
30.03.14,20:00,66.19999695,193
31.03.14,2:00,68.40000153,187
31.03.14,8:00,54.29999924,179
31.03.14,14:00,85,368
31.03.14,20:00,92.40000153,362
01.04.14,2:00,76.19999695,277
01.04.14,8:00,61.59999847,237
01.04.14,14:00,41.70000076,167
01.04.14,20:00,73.19999695,288
02.04.14,2:00,59.90000153,223
02.04.14,8:00,72.5,231
02.04.14,14:00,63.79999924,186
02.04.14,20:00,95.30000305,431
03.04.14,2:00,56.79999924,169
03.04.14,8:00,67.69999695,240
03.04.14,14:00,66.80000305,254
03.04.14,20:00,58.40000153,195
04.04.14,2:00,65,239
04.04.14,8:00,61.29999924,206
04.04.14,14:00,95.80000305,444
04.04.14,20:00,80.19999695,326
05.04.14,2:00,61.20000076,193
05.04.14,8:00,69.69999695,244
05.04.14,14:00,108.4000015,505
05.04.14,20:00,59.70000076,191
06.04.14,2:00,58.79999924,201
06.04.14,8:00,72.40000153,293
06.04.14,14:00,63.79999924,234
06.04.14,20:00,59.90000153,214
07.04.14,2:00,49.70000076,173
07.04.14,5:00,59.59999847,210
